title,price,rating,availability,category,price_inr
A Light in the Attic,51.77,3,True,Poetry,5461.74
Tipping the Velvet,53.74,1,True,Historical Fiction,5669.57
Soumission,50.1,1,True,Fiction,5285.55
Sharp Objects,47.82,4,True,Mystery,5045.01
Sapiens: A Brief History of Humankind,54.23,5,True,History,5721.26
The Requiem Red,22.65,1,True,Young Adult,2389.57
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True,Business,3517.37
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True,Default,1891.62
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True,Default,2384.3
The Black Maria,52.15,1,True,Poetry,5501.82
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True,Default,1475.94
Shakespeare's Sonnets,20.66,4,True,Poetry,2179.63
Set Me Free,17.46,5,True,Young Adult,1842.03
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,Sequential Art,5516.6
Rip it Up and Start Again,35.02,5,True,Music,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True,Music,6039.88
Olio,23.88,1,True,Poetry,2519.34
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,Science Fiction,3965.75
Libertarianism for Beginners,51.33,2,True,Politics,5415.32
It's Only the Himalayas,45.17,2,True,Travel,4765.44
In Her Wake,12.84,1,True,Unknown,1354.62
How Music Works,37.32,2,True,Unknown,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,Unknown,3219.86
Chase Me (Paris Nights #2),25.27,5,True,Unknown,2665.98
Black Dust,34.53,5,True,Unknown,3642.92
Birdsong: A Story in Pictures,54.64,3,True,Unknown,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,Unknown,2373.75
Aladdin and His Wonderful Lamp,53.13,3,True,Unknown,5605.22
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,True,Unknown,4251.65
Wall and Piece,44.18,4,True,Unknown,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,Unknown,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,Unknown,3275.78
The Elephant Tree,23.82,5,True,Unknown,2513.01
The Bear and the Piano,36.89,1,True,Unknown,3891.9
Sophie's World,15.94,5,True,Unknown,1681.67
Penny Maybe,33.29,3,True,Unknown,3512.1
Maude (1883-1993):She Grew Up with the country,18.02,2,True,Unknown,1901.11
"In a Dark, Dark Wood",19.63,1,True,Unknown,2070.96
Behind Closed Doors,52.22,4,True,Unknown,5509.21
You can't bury them all: Poems,33.63,2,True,Unknown,3547.96
Slow States of Collapse: Poems,57.31,3,True,Unknown,6046.2
Reasons to Stay Alive,26.41,2,True,Unknown,2786.26
Private Paris (Private #10),47.61,5,True,Unknown,5022.85
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,Unknown,2438.1
Without Borders (Wanderlove #1),45.07,2,True,Unknown,4754.88
When We Collided,31.77,1,True,Unknown,3351.74
